Date,Neo ID,Name,Is Potentially Hazardous,Absolute Magnitude,Min Diameter (km),Max Diameter (km),Relative Velocity (km/s),Miss Distance (km)
2024-11-30,3263235,(2004 XO),true,21.62,0.13,0.28,14.61,18960903.64
2024-11-30,3552578,(2010 WR7),false,23.50,0.05,0.12,21.75,72679243.81
2024-11-30,3604236,(2012 JS17),false,21.00,0.17,0.38,12.85,27842006.97
2024-11-30,3647027,(2013 RE6),false,21.53,0.13,0.29,5.74,28641256.42
2024-11-30,3836941,(2018 YG),false,24.30,0.04,0.08,16.70,44979395.23
2024-11-30,3837682,(2019 AN5),true,21.07,0.16,0.36,13.35,26493889.90
2024-11-30,3841756,(2019 JN2),false,25.72,0.02,0.04,7.71,3585880.42
2024-11-30,3843834,(2019 RX2),false,28.50,0.01,0.01,17.36,64102905.20
2024-11-30,54093080,(2020 WO3),false,23.01,0.07,0.15,26.82,63616553.23
2024-11-30,54134945,(2021 GE2),false,29.15,0.00,0.01,15.29,56313905.44
2024-11-30,54225726,(2021 XF),false,28.35,0.01,0.01,18.29,47631854.41
2024-11-30,2688126,688126 (2012 JS17),false,21.04,0.16,0.37,12.85,27841995.03
2024-11-30,54497169,(2024 UM13),false,25.14,0.02,0.06,6.26,11253105.60
2024-11-30,54497460,(2024 VV),false,23.56,0.05,0.12,11.05,27519697.17
2024-11-30,54499473,(2024 VR3),false,24.30,0.04,0.08,2.34,24764238.27
2024-11-30,54499611,(2024 VZ3),false,22.24,0.09,0.21,14.67,14345937.96
2024-11-30,54499837,(2024 WS),false,26.48,0.01,0.03,10.51,2353146.39
2024-11-30,54501816,(2024 WY5),false,24.12,0.04,0.09,13.49,21332404.64
2024-11-30,54502165,(2024 WQ14),false,26.08,0.02,0.04,3.26,16491497.59
2024-11-29,3548081,(2010 TK7),false,20.78,0.19,0.41,15.67,37294594.41
2024-11-29,3769881,(2017 DV35),false,27.20,0.01,0.02,9.60,28180243.59
2024-11-29,3799765,(2018 DC4),false,27.30,0.01,0.02,4.49,7192959.49
2024-11-29,54088803,(2020 WD),false,28.21,0.01,0.01,9.54,17531326.86
2024-11-29,54220006,(2021 VF19),false,24.02,0.04,0.09,19.94,38908371.40
2024-11-29,54282205,(2022 LK1),false,23.18,0.06,0.14,11.81,53782291.03
2024-11-29,54405973,(2023 VN10),false,22.36,0.09,0.20,23.52,73299505.44
2024-11-29,2706765,706765 (2010 TK7),false,20.78,0.19,0.41,15.67,37294594.28
2024-11-29,54500029,(2024 WZ),false,27.05,0.01,0.02,9.91,1447563.62
2024-11-29,54500040,(2024 WM1),false,25.35,0.02,0.05,7.22,11412279.75
2024-11-29,54501472,(2024 WF5),false,28.28,0.01,0.01,21.39,167320.43
2024-11-29,54502152,(2024 WV13),false,24.18,0.04,0.09,6.32,23561783.19
2024-11-29,54502462,(2024 XB),false,26.06,0.02,0.04,11.22,1246488.09
2024-11-28,3410533,(2008 JL24),false,29.60,0.00,0.01,9.78,34913663.98
2024-11-28,3738932,(2015 YQ1),false,28.00,0.01,0.01,8.68,42433937.22
2024-11-28,54224159,(2021 WA1),false,27.70,0.01,0.02,9.13,27555026.96
2024-11-28,54292217,(2022 OC3),false,28.37,0.01,0.01,3.31,14673586.66
2024-11-28,54321085,(2022 UP12),false,26.40,0.01,0.03,19.28,53719275.39
2024-11-28,54330039,(2022 WO7),false,24.56,0.03,0.07,13.00,47989920.29
2024-11-28,54412459,(2023 XG),false,26.06,0.02,0.04,10.94,41260985.60
2024-11-28,54465830,(2024 PN3),false,19.44,0.34,0.77,8.58,16876940.12
2024-11-28,54490136,(2024 TZ9),false,23.09,0.06,0.14,8.65,9040488.37
2024-11-28,54499840,(2024 WT),false,27.22,0.01,0.02,3.84,894775.11
2024-11-28,54500506,(2024 WF3),false,27.33,0.01,0.02,6.90,4159056.94
2024-11-28,54500711,(2024 WT3),false,27.53,0.01,0.02,11.07,2386200.72
2024-11-28,54500710,(2024 WW3),false,25.41,0.02,0.05,6.27,13865337.73
2024-11-28,54500950,(2024 WZ4),false,27.84,0.01,0.02,7.82,1572263.23
2024-11-28,54501819,(2024 WF10),false,24.81,0.03,0.07,18.20,10435706.23
2024-11-28,54501823,(2024 WJ11),false,26.93,0.01,0.02,9.98,558908.80
2024-11-28,54502155,(2024 WY13),false,23.05,0.07,0.15,15.45,4795282.16
2024-11-28,54502463,(2024 XC),false,26.34,0.01,0.03,15.05,1217181.17
2024-11-27,2490581,490581 (2009 WZ104),true,20.85,0.18,0.40,11.74,32845372.67
2024-11-27,3547225,(2010 SA12),false,20.98,0.17,0.38,10.87,57414440.90
2024-11-27,3789391,(2017 VF14),false,28.50,0.01,0.01,18.52,33129029.92
2024-11-27,54093091,(2020 WU3),false,23.30,0.06,0.13,28.76,70061427.71
2024-11-27,54159395,(2021 LT5),false,21.34,0.14,0.32,18.57,29506016.37
2024-11-27,54214062,(2021 UG6),false,26.79,0.01,0.03,14.00,50866851.16
2024-11-27,54266164,(2022 FZ3),false,28.88,0.00,0.01,9.58,25784505.45
2024-11-27,54380898,(2023 RS2),false,24.03,0.04,0.09,4.77,11102387.45
2024-11-27,54439324,(2024 JH),false,25.63,0.02,0.04,6.88,23322751.85
2024-11-27,54500494,(2024 WQ2),false,24.65,0.03,0.07,17.33,2080787.19
2024-11-27,54500504,(2024 WD3),false,28.11,0.01,0.01,5.36,1730884.11
2024-11-27,54500714,(2024 WS3),false,25.57,0.02,0.05,7.92,3084592.83
2024-11-27,54500893,(2024 WL4),false,27.26,0.01,0.02,6.80,5045837.64
2024-11-27,54502145,(2024 WG12),false,29.35,0.00,0.01,5.90,187862.60
2024-11-27,54502146,(2024 WJ12),false,26.39,0.01,0.03,8.85,2493141.16
2024-11-27,54502450,(2024 WK15),false,26.46,0.01,0.03,9.13,1110296.30
2024-11-26,2448628,448628 (2010 VF1),false,20.35,0.23,0.51,26.74,40894946.36
2024-11-26,3359024,(2006 WB),false,22.80,0.07,0.16,4.20,891241.41
2024-11-26,3547936,(2010 TM4),false,22.65,0.08,0.18,6.23,12433304.37
2024-11-26,3735612,(2015 XC),false,25.20,0.02,0.05,13.59,27230496.08
2024-11-26,3789744,(2017 WE28),false,26.70,0.01,0.03,10.26,7712926.90
2024-11-26,54115835,(2021 CY5),false,25.87,0.02,0.04,8.11,46466236.19
2024-11-26,54209479,(2021 RS100),false,28.76,0.00,0.01,28.08,43114786.88
2024-11-26,54358779,(2023 JR4),false,26.84,0.01,0.03,11.73,12607712.56
2024-11-26,54379679,(2023 RA),false,25.14,0.02,0.06,15.37,26422786.72
2024-11-26,54496212,(2024 UT6),true,21.97,0.11,0.24,13.70,25007633.57
2024-11-26,54500325,(2024 WE2),false,26.06,0.02,0.04,5.41,11387369.41
2024-11-26,54501475,(2024 WP5),false,21.86,0.11,0.25,10.36,22398569.93
2024-11-26,54502451,(2024 WL15),false,21.30,0.15,0.33,17.33,12786129.41
2024-11-25,2175706,175706 (1996 FG3),true,18.32,0.58,1.29,6.12,26930869.55
2024-11-25,2524471,524471 (2002 JW15),false,20.43,0.22,0.49,12.18,47338944.67
2024-11-25,3076549,(2000 WX28),false,21.10,0.16,0.36,5.30,27698929.72
2024-11-25,3479013,(2009 WB105),false,23.50,0.05,0.12,18.90,5786697.30
2024-11-25,3640706,(2013 LK7),false,20.49,0.21,0.47,16.41,33502477.09
2024-11-25,3764838,(2016 WR8),false,27.40,0.01,0.02,12.01,8703776.92
2024-11-25,3789455,(2017 WR),false,24.80,0.03,0.07,12.63,15458612.18
2024-11-25,3789747,(2017 WD28),false,25.70,0.02,0.04,17.42,20186771.60
2024-11-25,3799001,(2018 CL),false,25.50,0.02,0.05,17.54,60179338.43
2024-11-25,3829424,(2018 RO5),false,25.61,0.02,0.04,6.55,35701630.01
2024-11-25,3989253,(2020 BD11),false,24.29,0.04,0.08,8.38,46858058.13
2024-11-25,54336956,(2022 YV5),false,25.27,0.02,0.05,8.38,48811583.77
2024-11-25,54418796,(2022 OY78),false,26.38,0.01,0.03,17.81,59163697.06
2024-11-25,54469022,(2024 RZ5),false,19.27,0.37,0.83,11.49,13638021.42
2024-11-25,54471048,(2024 RP14),true,20.84,0.18,0.40,12.97,30564735.20
2024-11-25,54487067,(2024 TV1),false,24.72,0.03,0.07,3.42,8469969.33
2024-11-25,54499465,(2024 VF3),false,22.45,0.09,0.19,17.55,18676266.24
2024-11-25,54499797,(2024 WD),false,25.01,0.03,0.06,8.60,9581199.17
2024-11-25,54500326,(2024 WF2),false,27.69,0.01,0.02,6.62,2856872.17
2024-11-25,54500489,(2024 WL2),false,25.16,0.02,0.06,17.76,14241919.20
2024-11-25,54500507,(2024 WJ3),false,28.05,0.01,0.01,5.32,4478997.88
2024-11-25,54500891,(2024 WK4),false,28.85,0.00,0.01,7.56,1159826.36
2024-11-25,54500946,(2024 WR4),false,25.23,0.02,0.05,7.42,10899278.00
2024-12-02,2163899,163899 (2003 SD220),true,17.63,0.79,1.77,5.48,13215344.41
2024-12-02,2523585,523585 (1998 MW5),false,18.69,0.49,1.09,11.48,44722883.54
2024-12-02,3788012,(2017 UV4),false,19.93,0.27,0.61,15.02,28564760.88
2024-12-02,3825033,(2018 KT2),false,26.90,0.01,0.02,5.70,50677704.19
2024-12-02,54054370,(2020 RA8),false,24.20,0.04,0.09,18.38,68471221.69
2024-12-02,54226123,(2021 XZ),false,28.21,0.01,0.01,7.40,5050660.10
2024-12-02,54288263,(2022 MO),false,20.64,0.20,0.44,16.76,67466617.54
2024-12-02,54328073,(2022 WH4),false,23.89,0.04,0.10,19.48,66805063.10
2024-12-02,54445000,(2024 KA1),false,25.38,0.02,0.05,7.28,64755530.60
2024-12-02,54454243,(2024 MG1),false,23.93,0.04,0.10,5.51,67023597.88
2024-12-02,54500036,(2024 WF1),false,23.37,0.06,0.13,13.45,29853950.98
2024-12-02,54500509,(2024 WK3),false,23.82,0.05,0.10,8.06,16283144.55
2024-12-02,54500709,(2024 WR3),false,23.53,0.05,0.12,16.41,20286091.51
2024-12-02,54500894,(2024 WN4),false,26.85,0.01,0.03,11.50,1775759.48
2024-12-02,54502457,(2024 WR15),false,24.72,0.03,0.07,14.81,18400257.18
2024-12-01,54065916,(2020 TH6),false,28.80,0.00,0.01,4.53,23348834.01
2024-12-01,54225500,(2021 WL4),false,23.98,0.04,0.10,10.15,9510703.84
2024-12-01,54305664,(2022 SY4),false,27.53,0.01,0.02,9.81,24071366.38
2024-12-01,54500492,(2024 WO2),false,23.67,0.05,0.11,15.07,23908929.43
2024-12-01,54502461,(2024 XA),false,31.60,0.00,0.00,13.57,7725.97
